Date,Baclaran,Banay-Banay,Banlic,Barangay Dos,Barangay Tres,Barangay Uno,Bigaa,Butong,Casile,Diezmo,Gulod,Mamatid,Marinig,Niugan,Pittland,Pulo,Sala,San Isidro,Total_Cabuyao
2022-06-30,14497,29176,20595,2321,3037,4147,12782,14628,4127,6555,19391,58514,54374,31975,5750,38462,12799,24690,357820
2022-07-31,14493,28997,20593,2356,2997,4166,12749,14623,4148,6553,19479,58417,54756,31745,5739,38597,12878,24744,358030
2022-08-31,14489,28818,20591,2391,2958,4185,12716,14618,4169,6550,19569,58320,55139,31517,5728,38732,12958,24798,358246
2022-09-30,14485,28641,20589,2427,2919,4204,12684,14613,4191,6548,19659,58224,55526,31290,5716,38868,13038,24852,358474
2022-10-31,14481,28464,20587,2464,2881,4223,12651,14608,4212,6545,19749,58128,55915,31065,5705,39005,13118,24907,358708
2022-11-30,14477,28289,20585,2501,2844,4242,12619,14602,4233,6542,19839,58032,56307,30842,5694,39142,13200,24961,358951
2022-12-31,14473,28115,20583,2539,2807,4261,12586,14597,4255,6540,19931,57936,56702,30620,5683,39279,13281,25016,359204
2023-01-31,14469,27942,20581,2577,2770,4280,12554,14592,4276,6537,20022,57840,57100,30400,5672,39417,13363,25071,359463
2023-02-28,14464,27770,20579,2616,2734,4300,12522,14587,4298,6535,20114,57744,57500,30181,5661,39555,13446,25126,359732
2023-03-31,14460,27599,20578,2655,2698,4319,12490,14582,4320,6532,20206,57649,57903,29964,5650,39694,13529,25181,360009
2023-04-30,14456,27429,20576,2695,2663,4338,12458,14577,4342,6530,20299,57554,58309,29749,5638,39834,13613,25236,360296
2023-05-31,14452,27260,20574,2736,2628,4358,12426,14571,4364,6527,20392,57459,58718,29535,5627,39973,13697,25291,360588
2023-06-30,14448,27092,20572,2777,2594,4378,12394,14566,4386,6525,20486,57364,59130,29322,5616,40114,13782,25347,360893
2023-07-31,14444,26925,20570,2819,2560,4397,12362,14561,4408,6522,20580,57269,59544,29111,5605,40255,13867,25402,361201
2023-08-31,14440,26759,20568,2862,2527,4417,12330,14556,4430,6520,20674,57174,59962,28902,5594,40396,13953,25458,361522
2023-09-30,14436,26595,20566,2905,2494,4437,12299,14551,4453,6517,20769,57080,60382,28694,5583,40538,14039,25514,361852
2023-10-31,14431,26431,20564,2948,2461,4457,12267,14546,4476,6515,20864,56985,60805,28488,5572,40680,14126,25570,362186
2023-11-30,14427,26268,20562,2993,2429,4477,12236,14540,4498,6512,20960,56891,61232,28283,5561,40823,14213,25626,362531
2023-12-31,14423,26106,20560,3038,2397,4497,12204,14535,4521,6510,21056,56797,61661,28080,5551,40966,14301,25682,362885
2024-01-31,14419,25946,20558,3084,2366,4518,12173,14530,4544,6507,21153,56703,62093,27878,5540,41110,14390,25738,363250
2024-02-29,14415,25786,20556,3130,2335,4538,12142,14525,4567,6505,21250,56610,62528,27677,5529,41254,14479,25795,363621
2024-03-31,14411,25627,20554,3178,2305,4559,12110,14520,4590,6502,21347,56516,62967,27478,5518,41399,14568,25851,364000
2024-04-30,14407,25469,20552,3225,2274,4579,12079,14515,4614,6500,21445,56423,63408,27280,5507,41544,14659,25908,364388
2024-05-31,14403,25312,20550,3274,2245,4600,12048,14510,4637,6497,21544,56330,63853,27084,5496,41690,14749,25965,364787
2024-06-30,14399,25157,20549,3324,2216,4621,12017,14504,4661,6495,21643,56237,64300,26890,5485,41836,14840,26022,365196
2024-07-31,14394,25002,20547,3374,2187,4641,11987,14499,4684,6492,21742,56144,64751,26696,5475,41983,14932,26079,365609
2024-08-31,14390,24848,20545,3424,2158,4662,11956,14494,4708,6489,21842,56051,65205,26504,5464,42131,15025,26136,366032
2024-09-30,14386,24695,20543,3476,2130,4683,11925,14489,4732,6487,21942,55958,65662,26314,5453,42279,15118,26193,366465
2024-10-31,14382,24543,20541,3529,2102,4704,11895,14484,4756,6484,22042,55866,66123,26124,5443,42427,15211,26250,366906
2024-11-30,14378,24391,20539,3582,2075,4726,11864,14479,4780,6482,22144,55773,66586,25936,5432,42576,15305,26308,367356
2024-12-31,14374,24241,20537,3636,2048,4747,11834,14474,4804,6479,22245,55681,67053,25750,5421,42725,15400,26366,367815
2025-01-31,14370,24092,20535,3691,2021,4768,11803,14469,4829,6477,22347,55589,67523,25565,5411,42875,15495,26423,368283
2025-02-28,14366,23944,20533,3746,1994,4790,11773,14463,4853,6474,22450,55497,67997,25381,5400,43026,15591,26481,368759
2025-03-31,14362,23796,20531,3803,1968,4811,11743,14458,4878,6472,22553,55406,68473,25198,5389,43177,15688,26539,369245
2025-04-30,14357,23650,20529,3860,1943,4833,11713,14453,4902,6469,22656,55314,68953,25017,5379,43329,15785,26597,369739
2025-05-31,14353,23504,20527,3918,1917,4855,11683,14448,4927,6467,22760,55223,69437,24837,5368,43481,15882,26656,370243
2025-06-30,14349,23359,20525,3977,1892,4877,11653,14443,4952,6464,22865,55131,69924,24659,5358,43633,15980,26714,370755
2025-07-31,14345,23215,20523,4037,1868,4899,11623,14438,4977,6462,22970,55040,70414,24481,5347,43786,16079,26773,371277
2025-08-31,14341,23072,20521,4098,1843,4921,11593,14433,5003,6459,23075,54949,70908,24305,5337,43940,16179,26831,371808
2025-09-30,14337,22930,20519,4160,1819,4943,11563,14428,5028,6457,23181,54859,71405,24130,5326,44094,16279,26890,372348
2025-10-31,14333,22789,20518,4223,1795,4965,11534,14423,5054,6454,23287,54768,71905,23957,5316,44249,16380,26949,372899
2025-11-30,14329,22649,20516,4286,1772,4988,11504,14417,5079,6452,23394,54677,72409,23785,5305,44405,16481,27008,373456
2025-12-31,14325,22509,20514,4351,1749,5010,11474,14412,5105,6449,23502,54587,72917,23613,5295,44560,16583,27067,374022
